, ,Number of genomes
0,Cluster 0,1
1,Cluster 1,1
2,Cluster 2,1
3,Cluster 3,1
4,Cluster 4,1
5,Cluster 5,1
6,Cluster 6,1
7,Cluster 7,1
8,Cluster 8,1
9,Cluster 9,1
10,Cluster 10,1
11,Cluster 11,1
12,Cluster 12,1
13,Cluster 13,1
14,Cluster 14,1
15,Cluster 15,1
16,Cluster 16,1
17,Cluster 17,1
18,Cluster 18,1
19,Cluster 19,1
20,Cluster 20,1
21,Cluster 21,1
22,Cluster 22,1
23,Cluster 23,1
24,Cluster 24,1
25,Cluster 25,1
26,Cluster 26,1
27,Cluster 27,1
28,Cluster 28,1
29,Cluster 29,1
30,Cluster 30,1
31,Cluster 31,1
32,Cluster 32,1
33,Cluster 33,2
34,Cluster 34,1
35,Cluster 35,1
36,Cluster 36,1
37,Cluster 37,1
38,Cluster 38,1
39,Cluster 39,1
40,Cluster 40,1
41,Cluster 41,1
42,Cluster 42,1
43,Cluster 43,1
44,Cluster 44,1
45,Cluster 45,1
46,Cluster 46,1
47,Cluster 47,1
48,Cluster 48,1
49,Cluster 49,1
50,Cluster 50,1
51,Cluster 51,1
52,Cluster 52,1
53,Cluster 53,1
54,Cluster 54,1
55,Cluster 55,1
56,Cluster 56,1
57,Cluster 57,1
58,Cluster 58,1
59,Cluster 59,1
60,Cluster 60,1
61,Cluster 61,1
62,Cluster 62,1
63,Cluster 63,1
64,Cluster 64,1
65,Cluster 65,1
66,Cluster 66,1
67,Cluster 67,1
68,Cluster 68,1
69,Cluster 69,1
70,Cluster 70,1
71,Cluster 71,1
72,Cluster 72,1
73,Cluster 73,1
74,Cluster 74,1
75,Cluster 75,1
76,Cluster 76,1
77,Cluster 77,1
78,Cluster 78,1
79,Cluster 79,1
80,Cluster 80,1
81,Cluster 81,1
82,Cluster 82,1
83,Cluster 83,1
84,Cluster 84,1
85,Cluster 85,1
86,Cluster 86,1
87,Cluster 87,1
88,Cluster 88,1
89,Cluster 89,1
90,Cluster 90,1
91,Cluster 91,1
92,Cluster 92,1
93,Cluster 93,1
94,Cluster 94,1
95,Cluster 95,1
96,Cluster 96,1
97,Cluster 97,1
98,Cluster 98,1
99,Cluster 99,1
100,Cluster 100,1
101,Cluster 101,1
102,Cluster 102,1
103,Cluster 103,1
104,Cluster 104,1
105,Cluster 105,1
106,Cluster 106,1
107,Cluster 107,1
108,Cluster 108,1
109,Cluster 109,1
110,Cluster 110,1
111,Cluster 111,1
112,Cluster 112,1
113,Cluster 113,1
114,Cluster 114,1
115,Cluster 115,1
116,Cluster 116,1
117,Cluster 117,1
118,Cluster 118,1
119,Cluster 119,1
120,Cluster 120,1
121,Cluster 121,1
122,Cluster 122,1
123,Cluster 123,1
124,Cluster 124,1
125,Cluster 125,1
126,Cluster 126,1
127,Cluster 127,1
128,Cluster 128,1
129,Cluster 129,1
130,Cluster 130,1
131,Cluster 131,1
132,Cluster 132,1
133,Cluster 133,1
134,Cluster 134,1
135,Cluster 135,1
136,Cluster 136,1
137,Cluster 137,1
138,Cluster 138,1
139,Cluster 139,1
140,Cluster 140,1
141,Cluster 141,1
142,Cluster 142,1
143,Cluster 143,1
144,Cluster 144,1
145,Cluster 145,1
146,Cluster 146,1
147,Cluster 147,1
148,Cluster 148,1
149,Cluster 149,1
150,Cluster 150,1
151,Cluster 151,1
152,Cluster 152,1
153,Cluster 153,1
154,Cluster 154,2
155,Cluster 155,1
156,Cluster 156,1
157,Cluster 157,1
158,Cluster 158,1
159,Cluster 159,1
160,Cluster 160,1
161,Cluster 161,1
162,Cluster 162,1
163,Cluster 163,1
164,Cluster 164,1
165,Cluster 165,1
166,Cluster 166,1
167,Cluster 167,1
168,Cluster 168,1
169,Cluster 169,1
170,Cluster 170,1
171,Cluster 171,1
172,Cluster 172,1
173,Cluster 173,1
174,Cluster 174,1
175,Cluster 175,1
176,Cluster 176,1
177,Cluster 177,1
178,Cluster 178,1
179,Cluster 179,1
180,Cluster 180,1
181,Cluster 181,1
182,Cluster 182,2
183,Cluster 183,1
184,Cluster 184,1
185,Cluster 185,1
186,Cluster 186,1
187,Cluster 187,1
188,Cluster 188,1
189,Cluster 189,1
190,Cluster 190,1
191,Cluster 191,1
192,Cluster 192,1
193,Cluster 193,1
194,Cluster 194,1
195,Cluster 195,1
196,Cluster 196,1
197,Cluster 197,1
198,Cluster 198,1
199,Cluster 199,1
200,Cluster 200,1
201,Cluster 201,1
202,Cluster 202,1
203,Cluster 203,1
204,Cluster 204,1
205,Cluster 205,1
206,Cluster 206,1
207,Cluster 207,1
208,Cluster 208,1
209,Cluster 209,1
210,Cluster 210,1
211,Cluster 211,1
212,Cluster 212,1
213,Cluster 213,1
214,Cluster 214,1
215,Cluster 215,1
216,Cluster 216,1
217,Cluster 217,1
218,Cluster 218,1
219,Cluster 219,1
220,Cluster 220,1
221,Cluster 221,1
222,Cluster 222,1
223,Cluster 223,1
224,Cluster 224,1
225,Cluster 225,1
226,Cluster 226,1
227,Cluster 227,1
228,Cluster 228,1
229,Cluster 229,1
230,Cluster 230,1
231,Cluster 231,2
232,Cluster 232,1
233,Cluster 233,1
234,Cluster 234,1
235,Cluster 235,1
236,Cluster 236,1
237,Cluster 237,1
238,Cluster 238,1
239,Cluster 239,1
240,Cluster 240,1
241,Cluster 241,1
242,Cluster 242,1
243,Cluster 243,1
244,Cluster 244,1
245,Cluster 245,1
246,Cluster 246,1
247,Cluster 247,1
248,Cluster 248,1
249,Cluster 249,1
250,Cluster 250,1
251,Cluster 251,1
252,Cluster 252,1
253,Cluster 253,1
254,Cluster 254,1
255,Cluster 255,1
256,Cluster 256,1
257,Cluster 257,1
258,Cluster 258,1
259,Cluster 259,1
260,Cluster 260,1
261,Cluster 261,1
262,Cluster 262,1
263,Cluster 263,1
264,Cluster 264,1
265,Cluster 265,1
266,Cluster 266,1
267,Cluster 267,1
268,Cluster 268,1
269,Cluster 269,1
270,Cluster 270,1
271,Cluster 271,1
