, ,Number of genomes,gene_class
0,Cluster 0,1,accessory
1,Cluster 1,1,accessory
2,Cluster 2,1,accessory
3,Cluster 3,1,accessory
4,Cluster 4,1,accessory
5,Cluster 5,1,accessory
6,Cluster 6,1,accessory
7,Cluster 7,1,accessory
8,Cluster 8,1,accessory
9,Cluster 9,1,accessory
10,Cluster 10,1,accessory
11,Cluster 11,1,accessory
12,Cluster 12,1,accessory
13,Cluster 13,1,accessory
14,Cluster 14,1,accessory
15,Cluster 15,1,accessory
16,Cluster 16,1,accessory
17,Cluster 17,1,accessory
18,Cluster 18,1,accessory
19,Cluster 19,1,accessory
20,Cluster 20,1,accessory
21,Cluster 21,1,accessory
22,Cluster 22,1,accessory
23,Cluster 23,1,accessory
24,Cluster 24,1,accessory
25,Cluster 25,1,accessory
26,Cluster 26,1,accessory
27,Cluster 27,1,accessory
28,Cluster 28,1,accessory
29,Cluster 29,1,accessory
30,Cluster 30,1,accessory
31,Cluster 31,1,accessory
32,Cluster 32,1,accessory
33,Cluster 33,2,accessory
34,Cluster 34,1,accessory
35,Cluster 35,1,accessory
36,Cluster 36,1,accessory
37,Cluster 37,1,accessory
38,Cluster 38,1,accessory
39,Cluster 39,1,accessory
40,Cluster 40,1,accessory
41,Cluster 41,1,accessory
42,Cluster 42,1,accessory
43,Cluster 43,1,accessory
44,Cluster 44,1,accessory
45,Cluster 45,1,accessory
46,Cluster 46,1,accessory
47,Cluster 47,1,accessory
48,Cluster 48,1,accessory
49,Cluster 49,1,accessory
50,Cluster 50,1,accessory
51,Cluster 51,1,accessory
52,Cluster 52,1,accessory
53,Cluster 53,1,accessory
54,Cluster 54,1,accessory
55,Cluster 55,1,accessory
56,Cluster 56,1,accessory
57,Cluster 57,1,accessory
58,Cluster 58,1,accessory
59,Cluster 59,1,accessory
60,Cluster 60,1,accessory
61,Cluster 61,1,accessory
62,Cluster 62,1,accessory
63,Cluster 63,1,accessory
64,Cluster 64,1,accessory
65,Cluster 65,1,accessory
66,Cluster 66,1,accessory
67,Cluster 67,1,accessory
68,Cluster 68,1,accessory
69,Cluster 69,1,accessory
70,Cluster 70,1,accessory
71,Cluster 71,1,accessory
72,Cluster 72,1,accessory
73,Cluster 73,1,accessory
74,Cluster 74,1,accessory
75,Cluster 75,1,accessory
76,Cluster 76,1,accessory
77,Cluster 77,1,accessory
78,Cluster 78,1,accessory
79,Cluster 79,1,accessory
80,Cluster 80,1,accessory
81,Cluster 81,1,accessory
82,Cluster 82,1,accessory
83,Cluster 83,1,accessory
84,Cluster 84,1,accessory
85,Cluster 85,1,accessory
86,Cluster 86,1,accessory
87,Cluster 87,1,accessory
88,Cluster 88,1,accessory
89,Cluster 89,1,accessory
90,Cluster 90,1,accessory
91,Cluster 91,1,accessory
92,Cluster 92,1,accessory
93,Cluster 93,1,accessory
94,Cluster 94,1,accessory
95,Cluster 95,1,accessory
96,Cluster 96,1,accessory
97,Cluster 97,1,accessory
98,Cluster 98,1,accessory
99,Cluster 99,1,accessory
100,Cluster 100,1,accessory
101,Cluster 101,1,accessory
102,Cluster 102,1,accessory
103,Cluster 103,1,accessory
104,Cluster 104,1,accessory
105,Cluster 105,1,accessory
106,Cluster 106,1,accessory
107,Cluster 107,1,accessory
108,Cluster 108,1,accessory
109,Cluster 109,1,accessory
110,Cluster 110,1,accessory
111,Cluster 111,1,accessory
112,Cluster 112,1,accessory
113,Cluster 113,1,accessory
114,Cluster 114,1,accessory
115,Cluster 115,1,accessory
116,Cluster 116,1,accessory
117,Cluster 117,1,accessory
118,Cluster 118,1,accessory
119,Cluster 119,1,accessory
120,Cluster 120,1,accessory
121,Cluster 121,1,accessory
122,Cluster 122,1,accessory
123,Cluster 123,1,accessory
124,Cluster 124,1,accessory
125,Cluster 125,1,accessory
126,Cluster 126,1,accessory
127,Cluster 127,1,accessory
128,Cluster 128,1,accessory
129,Cluster 129,1,accessory
130,Cluster 130,1,accessory
131,Cluster 131,1,accessory
132,Cluster 132,1,accessory
133,Cluster 133,1,accessory
134,Cluster 134,1,accessory
135,Cluster 135,1,accessory
136,Cluster 136,1,accessory
137,Cluster 137,1,accessory
138,Cluster 138,1,accessory
139,Cluster 139,1,accessory
140,Cluster 140,1,accessory
141,Cluster 141,1,accessory
142,Cluster 142,1,accessory
143,Cluster 143,1,accessory
144,Cluster 144,1,accessory
145,Cluster 145,1,accessory
146,Cluster 146,1,accessory
147,Cluster 147,1,accessory
148,Cluster 148,1,accessory
149,Cluster 149,1,accessory
150,Cluster 150,1,accessory
151,Cluster 151,1,accessory
152,Cluster 152,1,accessory
153,Cluster 153,1,accessory
154,Cluster 154,2,accessory
155,Cluster 155,1,accessory
156,Cluster 156,1,accessory
157,Cluster 157,1,accessory
158,Cluster 158,1,accessory
159,Cluster 159,1,accessory
160,Cluster 160,1,accessory
161,Cluster 161,1,accessory
162,Cluster 162,1,accessory
163,Cluster 163,1,accessory
164,Cluster 164,1,accessory
165,Cluster 165,1,accessory
166,Cluster 166,1,accessory
167,Cluster 167,1,accessory
168,Cluster 168,1,accessory
169,Cluster 169,1,accessory
170,Cluster 170,1,accessory
171,Cluster 171,1,accessory
172,Cluster 172,1,accessory
173,Cluster 173,1,accessory
174,Cluster 174,1,accessory
175,Cluster 175,1,accessory
176,Cluster 176,1,accessory
177,Cluster 177,1,accessory
178,Cluster 178,1,accessory
179,Cluster 179,1,accessory
180,Cluster 180,1,accessory
181,Cluster 181,1,accessory
182,Cluster 182,2,accessory
183,Cluster 183,1,accessory
184,Cluster 184,1,accessory
185,Cluster 185,1,accessory
186,Cluster 186,1,accessory
187,Cluster 187,1,accessory
188,Cluster 188,1,accessory
189,Cluster 189,1,accessory
190,Cluster 190,1,accessory
191,Cluster 191,1,accessory
192,Cluster 192,1,accessory
193,Cluster 193,1,accessory
194,Cluster 194,1,accessory
195,Cluster 195,1,accessory
196,Cluster 196,1,accessory
197,Cluster 197,1,accessory
198,Cluster 198,1,accessory
199,Cluster 199,1,accessory
200,Cluster 200,1,accessory
201,Cluster 201,1,accessory
202,Cluster 202,1,accessory
203,Cluster 203,1,accessory
204,Cluster 204,1,accessory
205,Cluster 205,1,accessory
206,Cluster 206,1,accessory
207,Cluster 207,1,accessory
208,Cluster 208,1,accessory
209,Cluster 209,1,accessory
210,Cluster 210,1,accessory
211,Cluster 211,1,accessory
212,Cluster 212,1,accessory
213,Cluster 213,1,accessory
214,Cluster 214,1,accessory
215,Cluster 215,1,accessory
216,Cluster 216,1,accessory
217,Cluster 217,1,accessory
218,Cluster 218,1,accessory
219,Cluster 219,1,accessory
220,Cluster 220,1,accessory
